audit,2015C,2016C,2017C,2015D,2016D,2017D,2015E,2016E,2017E
N,1.13,1.16,1.23,8.76,8.92,7.7,121.44,101.22,185.76
N,1.2,1.16,1.23,2.96,2.96,3.47,85.07,98.8,65.27
N,0.36,0.37,0.47,1.42,1.31,1.53,19.41,72.73,69.48
N,0.54,0.52,0.47,2.79,2.61,2.49,17.74,30.52,42.5
N,1.08,1.2,1.31,3.16,3.7,4.1,67.63,40.79,37.66
N,1,1.07,0.97,7.53,7.71,7.97,60.87,86.11,69.02
N,0.38,0.65,0.51,12.27,17.88,4.91,89.54,94.07,20.38
N,0.54,0.37,0.17,14.71,9.12,7.71,23.4,13.83,5.94
N,1.24,1.37,1.7,6.59,6.51,8.58,70.99,87.87,67.74
N,0.37,0.34,0.29,6.17,6.25,6.55,9.35,9.22,8.91
N,1.26,1.05,0.76,7.55,8.14,7.69,14.05,9.66,7.93
N,0.23,0.17,0.13,4.01,3.14,3.8,173.18,112.31,133.84
N,0.8,0.46,0.35,14.32,14.28,13.76,5.02,49.59,46.85
N,0.76,0.78,1,7.66,7.87,8.96,14.82,17.1,15.24
N,1.18,1.47,1.13,9.4,12.59,8.13,131.68,161.95,163.75
N,1.39,1.49,1.3,3.38,3.57,3.27,113.08,148.67,95.77
N,0.44,0.26,0.1,2.94,1.38,2.55,46.11,13.81,80.76
N,1.14,0.38,0.28,5.08,2.37,2.81,296.05,77.93,52.96
N,0.69,0.83,1.04,2.21,2.57,3.03,71.8,83.59,135.53
