audit,2011B,2011C,2011D,2011E,2012B,2012C,2012D,2012E,2013B,2013C,2013D,2013E,2014B,2014C,2014D,2014E,2015B,2015C,2015D,2015E,2016B,2016C,2016D,2016E,2017B,2017C,2017D,2017E
Y,3.46,49.98,0.46,1.96,-80.31,133,0.46,1.57,-13.26,221.06,1.09,2.26,-21.96,82.27,0.91,2.11,2.04,105.35,0.79,2.29,1.35,46.94,0.68,2.33,-24.03,115.77,0.24,1.02
Y,0.44,116.97,0.45,1,-6.19,127.38,0.4,1,-6.09,169.25,0.56,1.5,-0.98,167.62,0.53,1.21,4.48,52.88,0.51,1.15,15.37,32.67,0.59,1.2,9.69,38.04,0.5,1.01
Y,-1.92,212.4,0.38,1.7,0.22,218.65,0.34,1.7,-3.61,223.6,0.33,2.1,-5.42,235.64,0.32,2.49,-8,276.52,0.42,3.12,-7.45,325.65,0.46,3.69,-8.24,487.9,0.48,3.87
Y,-0.09,304.13,0.7,2.62,0.2,366.49,0.67,2.7,-0.04,375.82,0.92,2.92,-9.7,590.29,0.76,2.31,1.76,532.59,0.97,3.89,1.79,455.58,1.17,5.17,4.59,389.82,1.2,5.05
Y,5.12,147.44,1.03,4.45,3.19,144.79,0.96,3.48,2.77,155.69,0.92,2.83,1.86,153.08,0.89,2.52,2.52,143.54,0.87,2.68,2.57,130.91,0.88,3.02,1.23,108.27,0.84,3
Y,-5.03,100.05,0.23,0.65,-7.38,120.47,0.12,0.29,-5.85,116.45,0.1,0.25,0.59,118.56,0.18,0.47,-7.12,150.52,0.04,0.1,8.22,91.84,0.19,0.39,-9.72,111.21,0.06,0.21
Y,-21.85,105.26,0.55,5,2.43,35.78,0.4,3.64,-40.08,103.18,0.56,5.83,-5.34,99.4,0.61,5.81,-19.21,96.88,0.57,4.49,-9.73,68.47,0.65,5.41,-26.55,129.12,0.56,4.97
Y,6.17,78.15,0.92,29.5,7.72,73.44,1.04,22.17,7.83,88.96,1.09,15.46,8.71,102.82,1.05,10.27,7.46,81.14,1.06,9.13,1.62,112.59,1.02,8.44,-9.36,192.12,1.08,13.13
Y,1.96,222.49,1.13,6.78,0.21,284.64,0.88,5.79,4.46,241.14,0.86,6.38,2.55,210.74,0.91,1.36,20.15,63.78,0.93,1.3,2.79,45.48,1.01,5.91,2.31,38.99,1.06,5.54
N,3.43,30.26,0.5,2.87,3.89,68.17,0.47,3.19,3.62,85.18,0.43,3.4,-6.03,81.63,0.43,2.78,1.03,54.33,0.52,2.68,0.78,63.82,0.51,2.61,-4.59,82.37,0.52,2.61
N,-1.99,170.35,0.56,2.88,-0.09,173.84,0.58,2.63,-0.68,172.13,0.56,2.54,-3.45,181.04,0.63,2.97,-3.19,135.89,0.56,3.17,2.1,139.68,0.62,4.05,1.25,23.1,0.22,2.19
N,-1.2,34.05,0.67,4.23,1.71,29.19,0.63,4.2,1.59,46.81,0.79,5.76,7.2,31.48,0.89,6.82,15.12,29.19,1.03,9.26,13.22,22.74,0.91,8.41,4.43,14.81,0.68,6.87
N,-2.54,118,0.74,4.18,-10.83,96.2,0.45,2.19,-0.37,106.94,0.42,2.29,-3.11,132.84,0.63,3.21,-1.23,157.56,0.55,2.54,-33.27,167.25,0.53,1.84,-12.04,204.76,0.48,2.22
N,2.07,84.66,0.74,2.83,4.06,70.01,0.78,3,7.63,44.79,0.81,3.09,9.95,34.74,0.89,3.26,13.65,39.99,0,0.01,195.94,0.87,0.04,0.35,3.29,2.63,0.08,7.78
N,0.71,364.35,0.96,5.06,1.37,394.05,0.94,5.05,-0.65,397.56,0.92,5.15,0.21,403.18,0.84,5.22,0.13,357.12,0.6,4.42,-2.03,376.22,0.52,4.59,-2.8,407.66,0.58,4.5
N,14.54,19.24,0.47,5.15,13.56,20.69,0.47,4.46,8.36,20.86,0.42,3.84,12.07,17.84,0.44,3.84,14.38,26.33,0.41,3.52,13.66,28.73,0.37,3.3,11.37,21.44,0.35,3.25
N,4.12,27.09,0.81,2.95,3.31,32.13,0.72,2.59,2.92,56.63,0.68,2.86,2.98,43.11,0.59,3.82,2.41,42.27,0.59,4.8,4.95,45.88,0.64,4.89,3.24,55.95,0.71,5
N,2.49,96.37,0.57,2.15,2.06,74.34,0.54,2.23,1.21,63.18,0.53,2.6,1.88,70.8,0.66,3.66,2.8,64.24,0.69,3.76,4.17,91,0.72,4.38,9.79,93.58,0.62,4.83
N,8.45,20.79,0.68,5.94,5.18,31.08,0.58,6.96,-1.57,48.69,0.45,6.75,5.49,46.93,0.5,8.42,5.87,40.75,0.53,7.3,3.51,31.78,0.46,5.56,1.5,35.35,0.37,4.96
N,3.21,38.92,0.56,2.88,9.51,12.57,0.63,3.01,11.8,13.66,0.66,2.67,9.59,12.36,0.53,2.4,10.01,20.36,0.47,2.54,7.95,35.94,0.47,2.68,10.5,46.86,0.49,3
N,5.63,172.04,0.34,3.28,3.73,108.05,0.44,2.52,8.44,78.19,0.5,2.58,5.8,61.7,0.52,2.73,4.5,45.8,0.48,2.49,7.22,48.45,0.52,2.61,7.96,27.41,0.55,2.58
N,-6.41,497.83,0.99,3.41,-2.85,339.14,1.08,3.01,-19.28,338.04,1.01,2.25,-3.73,242.69,1.15,2.15,-2.6,68.25,0.83,2.2,-8.29,106.34,0.69,2.62,4.26,48.3,0.79,3.02
