audit,2007A,2007B,2007C,2007D,2007E,2008A,2008B,2008C,2008D,2008E,2009A,2009B,2009C,2009D,2009E,2010A,2010B,2010C,2010D,2010E,2011A,2011B,2011C,2011D,2011E,2012A,2012B,2012C,2012D,2012E,2013A,2013B,2013C,2013D,2013E,2014A,2014B,2014C,2014D,2014E,2015A,2015B,2015C,2015D,2015E,2016A,2016B,2016C,2016D,2016E,2017A,2017B,2017C,2017D,2017E
Y,456.69,1.42,17.56,0.18,1.88,382.3,-9.99,21.98,0.17,1.29,916.29,-12.28,11.2,0.18,1.5,607.1,-8.98,7.96,0.23,1.96,387.93,-10.44,10.83,0.25,1.45,1040.35,-34.41,3.26,0.28,1.91,210.44,-5.32,30.05,0.25,2.98,62.11,-11.03,38.18,0.19,3.4,132.15,2.24,25.74,0.37,2.86,587.25,-7.45,9.53,0.24,1.85,144.98,-33.89,51.53,0.26,3.22
Y,63.7,4.14,178.7,1.35,12.75,71.62,2.63,148.38,1.34,13.77,69.28,5.5,128.1,1.14,11.5,78.25,4.15,129.98,1.25,12.6,89.09,1.41,195.31,1.21,8.01,76.07,2.59,174.46,1.11,6.18,60.45,-4.03,203.37,1.13,7.79,58.81,2.37,184.95,1.09,8.13,56.73,4.1,159.04,1.04,7.99,57.25,6.98,124.75,1.03,8.87,62.14,4.07,125.82,1.1,8.96
Y,90.38,3.05,190.65,1.79,3.97,100.12,11.67,119.7,1.49,3.93,102.89,13.69,101.98,1.19,3.62,137.15,14.8,88.81,1.31,3.85,93.79,7.59,103.42,1.29,3.98,122.52,6.77,84.51,1.26,4.18,94.41,-2.76,93.05,0,0,4613.79,53.86,0.45,0,0.02,214.09,0.99,0.68,0.02,27.89,217.64,9.36,2.78,0.03,21.9,55.39,0,3.86,0.03,13.85
Y,82.21,-0.62,168.63,0.78,6.07,62.83,0.19,199.08,0.91,6.42,54.27,2.88,119.68,0.89,6.68,92.12,1.75,120.23,0.94,6.49,92.55,0.82,134.22,0.88,5.32,68.34,2.95,121.03,0.85,5.39,81.01,2.02,112.99,0,0,99.25,-0.42,287.69,0,0,53.85,-0.38,5.37,0.02,16.02,6.17,-10.03,9.17,0.04,8.43,95.07,-26.4,7.24,0.05,9.25
Y,143.79,-1.88,123.35,1.24,2.8,121.59,2.2,84.54,1.13,3.81,119.82,2.46,87.59,0.77,3.82,84.15,1.35,120.06,0.7,4.05,112.69,-1.47,178.13,0.63,4.14,96.42,-2.74,163.58,0.63,4.01,109.36,-2.41,81.4,0.56,3.44,97.05,1.96,78.73,0.6,4.36,88.8,2.8,66.06,0.62,5.11,91.24,3.97,61.42,0.6,5.04,75.28,1.97,62.99,0.57,4.59
Y,100.18,2.83,208.1,1.85,8.64,87.58,4.68,184.47,1.55,9.84,85.37,2.99,189.94,1.3,7.12,116.2,-0.92,197.77,0.9,4.58,72.83,-31.27,1488.84,1.09,5.27,64.99,-70.38,0,0.84,4.12,138,21.35,260.65,0.78,4.62,93.77,-19.05,780.86,0.83,4.89,80.04,0.96,172.29,0.93,7.37,97.74,-10.51,165.85,1.15,14.25,81.55,3.56,124.23,0.81,8.63
Y,127.03,0.62,164.9,2.06,7.45,96.18,-16.25,199.84,1.88,8.74,111.71,10.14,162.36,1.41,7.03,133.14,7.5,132.89,1.91,8.05,107.92,-0.9,167.07,1.87,7.12,118.06,2.21,147.95,1.63,5.77,103.95,-2.52,181.86,1.53,5.36,98.1,-0.03,196.09,1.53,5.58,95.68,-10.73,190.13,1.28,4.71,87.3,0.39,148.38,0.95,3.96,95.98,1.47,154.32,1.18,5.49
Y,190.47,4.66,83.49,1.09,3.65,157.24,1.59,101.66,1.17,4.06,158.4,2.31,114.2,1.18,4.41,149.46,5.97,101.63,1.06,4.47,150.75,1.45,111.62,1.07,4.01,168.78,0.94,115.42,1.05,3.4,195.53,0.88,115.41,1.03,3.27,146.52,-1.51,139.11,0.9,2.86,166.4,1.29,154.11,1,2.89,150.18,1.13,161,1.06,2.84,131.64,0.42,160.35,1.02,2.83
Y,59.57,-16.44,224.03,0.41,5.05,66.5,-11.92,342.03,0.53,6.56,58.12,-4.44,417.32,0.59,7.17,55.75,35.05,94.27,0.84,8.53,63.05,0.1,109.9,0.75,8.15,45.69,-6.61,165.61,0.57,7.87,52.83,-3.4,174.95,0.6,7.66,41.99,-8.65,267.38,0.55,6.67,58.91,-10.13,357.42,0.55,7.26,65.09,0.61,347.04,0.84,12.88,52.64,3.85,166.68,1.47,19.5
Y,101.52,3.29,275.98,1.42,4.21,94.34,-20.35,298.99,1.73,5.13,110.97,1.58,254.68,1.54,5.7,122.67,2.01,163.42,1.5,5.01,138.97,8.62,133.76,1.8,5.42,149.28,2.46,109.03,1.72,6.02,133.01,8.55,75.96,2.06,7.3,183.69,-1.01,73.62,1.53,5.74,157.03,-9.83,73.09,1.26,4.49,164.15,5.08,62.56,1.56,4.75,189.51,11.41,49.65,1.75,5.3
