audit,2007A,2007B,2007C,2007D,2007E,2008A,2008B,2008C,2008D,2008E,2009A,2009B,2009C,2009D,2009E,2010A,2010B,2010C,2010D,2010E,2011A,2011B,2011C,2011D,2011E,2012A,2012B,2012C,2012D,2012E,2013A,2013B,2013C,2013D,2013E,2014A,2014B,2014C,2014D,2014E,2015A,2015B,2015C,2015D,2015E,2016A,2016B,2016C,2016D,2016E,2017A,2017B,2017C,2017D,2017E
N,105.8,1.5,189.2,1.05,4.2,76.2,2.57,201.72,1.18,4.89,94.7,6.99,142.73,1.35,5.77,95.68,7.81,146.64,1.37,4.84,100.19,4.69,177.48,1.27,4.22,121.95,8.13,165.39,1.29,4.59,135.67,8.6,134.94,0,0,87.43,4,6.13,0.02,0.19,61.96,1.54,16.7,0.05,4.78,62.94,1.88,34.24,0.07,3.85,25.14,0.87,52.39,0.08,3.11
N,499.1,7.06,26.45,0.6,2.63,422.7,2.06,32.14,0.59,2.8,435.04,8.65,30.78,0.5,2.76,645.05,1.22,21.49,0.42,3.03,344.44,-3.09,27.9,0.44,3.42,452.75,-1.42,35.68,0.54,4.13,260.37,5.81,33.53,0.49,3.88,508.37,10.67,47.76,0.55,3.56,240.54,11.87,54.92,0.53,2.84,325.51,5.9,27.19,0.39,2.59,693.45,5.6,15.29,0.34,2.95
N,50.73,1.47,176.62,0.62,8.72,26.76,-7.86,141.85,0.55,10.77,29.83,-5.12,156.33,0.42,8.99,54.32,-3.59,166.55,0.54,11.94,37.13,-23.88,373.05,0.86,12.85,85.42,-12.96,251.14,0.94,11.47,170.01,-24.33,261.86,4.25,50.81,226.14,-63.91,39.65,1.15,11.63,280.37,-27.13,22.75,0.25,1.6,133.14,-45.81,98.89,0.65,3.82,34.2,-55.58,316.14,0.69,4.64
N,254.83,4.25,48.48,1.15,5.4,144.93,5.18,113.47,1.42,5.88,204.63,7.67,52.83,1.09,4.95,182.38,6.61,68.7,1.28,6.19,172.42,5.63,56.1,1.08,5.77,163.9,4.18,61.03,0.81,4.49,143.95,6.25,73.23,0.8,4.14,106.88,2.67,74,0.78,3.94,114.08,6.3,74.59,0.77,3.71,136.26,5.58,70.56,0.76,3.2,173.5,2.09,67.18,0.7,3.12
N,198.01,-16.53,12.2,0.2,1.59,111.53,-30.45,21,0.41,3.93,120.14,-17.91,40.32,0.38,2.35,220.27,-43.5,71.55,0.69,1.97,419.63,-6.42,25.34,1.51,4.21,367.93,9.08,57.57,2.59,14.29,107.13,-86.29,481.3,2.68,10.96,701.09,-49.71,18.18,0.53,1.6,370.24,-34.23,22.33,0.04,0.14,816.2,-5.98,9.42,0.6,2.31,2834.11,-3.26,3.88,0.35,1.64
N,289.22,6.86,85.58,2.03,8.58,200.63,7.58,115.41,1.91,7.77,236.73,17.59,66.2,1.87,8.34,158.69,12.89,143.69,1.37,9.24,284.68,7.13,80.93,1.2,8.21,222.97,4.74,81.85,1.25,7.58,308.39,2.13,97.09,1.12,6.71,189.72,2.2,83.42,0.96,4.84,170.37,-3.7,74.63,0.96,4.4,191.23,3.5,57.8,1.03,5.35,234.67,1.52,36.48,0.92,5.7
N,152.81,3.1,64.61,1,3.11,70.75,-39.36,522.16,1.06,3.36,68.71,-2.06,317.01,0.96,3.32,110.05,2.12,262.56,0.99,3.09,176.47,7.22,172.26,1.07,3.06,100.76,8.22,116.33,1.1,2.93,149.9,9.55,98.4,1.24,2.94,134.42,4.16,96.35,1.26,3.07,133.71,5.35,88.15,1.28,3.4,152.68,8.77,77.44,1.37,3.69,177.24,8.9,64.08,1.36,3.59
N,122.78,12.07,162.87,0.86,7.04,119.32,12.58,165.11,0.93,8.57,221.85,13.19,56.62,0.66,7.4,234.12,8.87,52.08,0.49,6.08,220.08,6.42,57.4,0.43,5.35,244.16,5.66,52.27,0.41,4.58,242.8,2.64,83.26,0.29,4.79,140.79,1.87,101.64,0.3,5.46,168.04,3.78,71.23,0.31,5.27,185.71,0.88,66.72,0.28,9.34,166.43,-0.93,68.73,0.14,8.14
N,87.94,8.28,127.15,2.49,8.66,80.77,7.43,99.17,2.17,8.12,82.34,11.1,67.09,1.62,9.55,117.55,19.12,59.41,1.72,14.2,88,8.36,126.34,1.35,6.93,92.82,3.69,119.36,1.21,4.84,103.9,13.48,81.03,1.25,4.89,139.83,10.36,53.72,1.23,4.88,126.49,4.95,61.39,1.16,4.72,132.71,5.5,62.14,1.13,4.78,121.28,3.08,54.91,1.07,4.52
N,200.73,-2.59,79.52,1.51,8.05,182,1.56,70.46,1.54,10.71,165.18,1.92,76.88,1.76,10.77,152.87,7.68,71.81,2.27,11.8,148.04,0.32,75.84,1.25,8.24,97.99,0.29,60.3,0.86,7.78,87.14,-1.94,60.6,0.73,6.64,96.3,0.95,79.02,0.98,5.71,100.58,-0.86,57.89,0.81,3.85,96.14,-20.24,76.08,0.82,4.05,69.62,-33.41,91.71,0.86,3.95
N,187.46,11.8,84.4,2.06,6.01,214.2,14.2,68.08,2.4,8.04,157.49,7.81,81.42,1.7,5.75,169.89,9.49,49.94,1.6,5.31,138.93,10.83,63.23,1.41,5.65,129.41,8,61.75,0.91,5.59,132.78,2.32,59.99,0.87,6.86,122.9,0.74,58.3,0.86,5.84,136.3,1.51,43.17,0.78,5.48,177.48,3.41,36.97,0.83,5.8,140.9,4.23,45.61,0.93,6.06
N,233.79,-17.97,23.28,0.33,1.23,138.55,1.93,63.29,0.9,3.29,153.1,3.86,59.41,0.84,3.29,126.31,4.37,97.69,1.2,3.66,162.51,15.76,62.1,1.08,2.45,201.67,12.22,54.1,0.85,1.9,279.12,-1.93,25.39,0.6,1.75,259.49,-7.84,31.59,0.45,2.09,206.71,3.83,35.72,0.66,2.55,209.08,7.03,38.1,0.81,2.28,187.98,21.27,66.05,1.36,3.82
N,446.32,9.06,22.03,0.92,3.52,466.7,11.13,19.86,0.84,3.3,165.71,10.6,47.89,0.5,2.96,2413.03,6.85,3.69,0.21,2.48,38981.75,8.13,0.08,0.07,0,74366.25,2.1,0.05,0.01,0,29866.52,5.84,0.1,0.07,0,22482.71,6.46,0.11,0.07,0,1525.64,8.44,9.84,0.09,0,2254.53,3.94,10.48,0.07,0,214.44,10,10.12,0.04,0
N,219.85,8.31,33.12,0.42,2.51,193.3,-6.53,29.97,0.43,4.07,232.35,4.01,27.94,0.23,2.49,260.45,9.82,38.5,0.47,5.33,232.61,-1.07,42.06,0.68,5.97,435.99,4.34,33.46,0.8,5.31,312.21,-3.92,27.29,0.69,5.04,199.58,-2.82,34.74,0.39,4.7,130.92,1.23,50.15,0.24,5.55,104.74,0.59,56.48,0.27,5.38,62.2,5.95,49.02,0.2,2.89
N,120.3,-4.03,235.97,1.02,4.01,105.55,0.39,262.93,1.27,4.21,167.08,12.99,165.46,1.6,5.1,124.47,-4.94,259.66,1.74,7.13,118.46,-10.14,325.49,0.92,4.28,82.53,-3.06,240.46,0.91,4.39,63.65,0.93,176.46,0.93,5.01,57.93,4.61,151.81,0.86,4.32,69.08,-1.17,97.75,0.8,4.4,69.87,2.07,95.95,0.97,5.33,69.28,-0.95,96.48,0.82,5.17
N,135.02,6.31,27.67,0.62,7.49,188.49,6.93,21.61,0.52,7.32,337.16,25.69,32.08,0.3,4.83,321.09,4.98,28.86,0.26,3.71,348.79,-0.91,21.71,0.27,3.66,186.2,-22.71,37.56,0.25,2.79,210.51,-29.28,16.41,0.22,1.84,291.76,2.25,13.18,0.35,2.97,284.2,-0.75,13.67,0.23,2.04,339.94,-18.33,15.33,0.31,2.2,437.04,1.97,11.8,0.31,2.16
N,132.8,3.51,81.72,1.26,4.19,125.97,4.39,65.99,1.13,3.43,120.29,1.93,80.76,1.21,3.77,109.76,1.59,104.59,1.33,3.83,110.98,-1.81,124.68,1.28,2.9,117.48,5.98,103.81,1.33,2.75,175.91,11.12,51.41,1.41,3.21,158.78,13.56,60.28,1.35,3.13,132.41,6.42,72.69,1.14,2.64,127.44,7.92,74.26,1.02,2.34,144.72,4.18,55.67,0.96,2.19
N,140.89,1.89,184.37,1.43,4.11,99.47,-7.85,245.19,1.18,4.11,106.7,1.41,164.03,1.1,4.08,132.91,2.03,184.92,0.98,3.27,78.34,-17.62,1401.47,1.05,3.08,96.03,-8.12,232.76,1.11,3.23,95.61,1.81,214.35,1.32,4.17,101.14,1.66,182.97,1.31,4.18,97.94,2.93,155.56,1.11,3.75,128.64,2.64,148.55,1.07,3.64,130.37,1,88.95,1.07,3.52
N,121.24,5.63,36.55,0.35,4.62,164.56,3.38,25.58,0.35,4.82,109.64,0.35,23.35,0.33,5.13,97.25,3.41,17.88,0.35,6.21,181.31,6.68,14.71,0.4,6.69,302.68,11.02,15.01,0.43,7.78,307.27,9.2,13.65,0.39,7.38,179.89,9.51,16.62,0.38,7.25,114.16,6.13,36.92,0.31,6.56,370.97,10.66,42.03,0.37,7.57,431.68,9.48,40.81,0.35,7.17
N,257.04,1.44,28.37,1.03,3.25,198.69,1.38,49.45,1.2,3.77,233.16,8.72,45.55,1.31,4.11,244,9.21,42.93,1.16,4.18,255.74,6.89,40.8,1.09,4.59,369.13,1.16,25.49,0.97,4.39,293.51,-3.61,34.06,0.99,4.87,321.67,-1.35,28.49,1,5.16,273.15,1.47,33.68,1.15,5.81,278.86,5.95,34.29,1.14,6,334.31,5.3,29.05,1.06,5.66
N,528.28,-17.18,6.79,0.09,2.36,5977.56,-19.85,3.91,0.08,1.51,7337.3,-25.83,68.84,0.06,1.84,237.17,-22.44,31.33,0.05,2.18,1522.33,-12.57,7.45,0.06,1.99,4016.86,-28.94,2.25,0.19,8.17,5121.22,-12.26,2.29,0.04,3.46,2801.24,-11.68,3.49,0.1,6.3,2349.62,7.04,4.66,0.25,10.79,909.31,3.09,6.05,0.28,10.7,333.42,0.87,150.02,0.24,7.12
N,792.68,-6.49,10.3,0.62,6.56,682.95,7.99,11.94,0.78,6.88,722.89,8.27,15.42,0.66,6.76,246.77,8.8,33.86,0.64,7.18,769.12,4.09,14.5,0.56,5.16,538.79,3.57,17.73,0.76,5.91,754.81,2.41,13.43,0.73,6.47,1007.11,0.38,11.55,0.58,7.44,714.95,2.5,13.73,0.73,10.95,574.14,1.47,16.91,0.77,10.13,652.55,1.71,20.11,0.8,11.01
N,471.54,5.25,37.71,0.55,3.17,228.43,4,32.95,0.58,3.61,90.65,9.59,101.37,0.41,3.69,92.73,1.2,90.57,0.36,3.43,54.16,3.24,95.66,0.38,3.1,51.37,1.44,96.25,0.36,3.1,24.52,0.87,127.94,0.29,2.87,170.71,2.9,82.21,0.28,2.81,170.78,-1.14,71.15,0.36,3.24,79.03,1.1,69.83,0.42,3.26,116.22,1.49,56.51,0.43,2.94
N,436.02,0.2,91.95,0.5,2.13,317.93,-4.68,67.24,0.29,3.01,137.34,0.11,86.43,0.34,4.64,111.89,0.22,96.95,0.51,3.86,232.67,15.53,42.91,0.72,3.57,228.1,4.3,41.32,0.81,3.49,180.51,4.63,49.9,0.81,3.68,266.98,2.6,40.61,0.67,3.73,413.82,1.31,24.15,0.59,3.9,773.78,0.82,17.49,0.6,3.31,620.73,6.42,15.86,0.72,3.34
N,214.31,3.22,83.76,1.12,10.37,162.32,-5.16,76.19,1.09,10.95,162.63,-1.45,77.42,0.96,11.72,143.67,-1.08,95.11,0.99,8.88,128.59,0.4,106.71,0.87,7.11,127.76,1.42,139.5,1.31,7.92,112.02,-3.65,183.19,1.39,6.63,116.69,1.94,166.63,1.36,6.22,110.2,-1.83,188.73,1.08,4.57,116.95,-1.88,160.46,1.28,5.73,105.96,2.36,149.81,1.37,7.44
N,204.17,1.34,56.23,1.48,20.78,285.02,13.9,47.38,1.93,19.61,442.78,21.19,28.79,2.07,20.29,454.69,19.63,21.21,1.85,21.7,398.77,7.24,24.1,1.71,21.06,269.73,1.68,36.32,1.51,18.23,398.41,6.94,25.38,1.67,18.76,319.47,1.07,28.43,1.42,11.82,363.79,5.18,23.84,1.49,9.99,462.71,7.7,20.62,1.4,10.41,486.23,9.36,16.99,1.23,12.87
N,311.23,-1.64,32.98,1.04,3.66,169.25,-4.83,77.38,0.87,6.61,123.4,-14.42,91.88,0.66,11.53,203.38,0.94,66.14,0.66,5.53,201.67,-15.78,75.14,0.41,3.6,308.52,-2.54,49.49,0.38,7.16,231.72,2.7,36.04,0.48,4.93,380.15,-19.38,50.62,0.23,1.28,169.18,-31.92,109.2,0.25,1.04,67.67,0.33,155.41,0.49,2.24,164.89,-85.78,105.2,0.06,0.35
N,245.84,7.58,56.68,1.77,10.41,268.82,-1.12,52.37,1.62,11.69,278.82,0.43,48.39,1.15,9.67,220.22,0.65,66.61,1.18,9.53,177.77,-12.83,94.41,1.28,9.26,136.4,-23.41,159.82,1.44,8.98,160.31,1.86,89.75,1.42,8.92,138.9,2.82,124.98,1.24,8.83,150.05,5.19,121.44,1.13,8.76,152.23,-4.02,101.22,1.16,8.92,135.12,-29.79,185.76,1.23,7.7
N,109.14,7.21,154.08,2.45,4.61,106.69,6.01,153.78,2.29,4.01,185.19,7.67,66.19,1.88,3.69,208.04,7.17,57.07,1.76,3.89,205.87,3.24,57.63,1.33,2.83,202.3,4.07,67.34,1.3,2.8,214.78,1.33,65.07,1.44,3.17,186.79,1.69,65.48,1.28,2.89,155.49,1.88,85.07,1.2,2.96,145.86,3.68,98.8,1.16,2.96,174.27,5.11,65.27,1.23,3.47
N,913.88,-47.55,27.06,0.12,1.95,510.88,-19.1,33.9,0.22,4.48,283.31,39.39,28.04,0.37,5.09,282.98,-16.91,26.91,0.37,4.12,562.51,-27.66,71.44,0.31,2.54,428.29,-13.58,93.37,0.29,2.44,502.3,0.73,84.56,0.42,3.33,478.71,-2.54,20.18,0.44,2.37,727.32,-8.16,19.41,0.36,1.42,391,-32.61,72.73,0.37,1.31,156.3,-1.72,69.48,0.47,1.53
N,113.89,19.98,186.9,1.06,1.28,128.17,10.14,175,1.57,2.47,207.76,14.95,76.99,1.32,3.21,221.03,11.88,74.94,0.97,2.9,273.35,8.67,52.34,0.89,2.54,527.76,6.51,38.41,0.81,2.43,182.88,9.04,63.65,0.82,2.71,473.5,6.38,21.27,0.61,2.64,279.27,8.21,17.74,0.54,2.79,276.57,7.37,30.52,0.52,2.61,216.26,7.62,42.5,0.47,2.49
N,193.57,12.3,77.11,1.94,8.39,134.05,9.59,139.25,1.99,8.9,160.37,7.26,88.44,1.24,6.43,188.95,6.14,109.45,1.25,6.62,164.15,7.66,123.54,1.07,4.74,165.87,7.14,83.9,1.16,4.07,154.68,6.98,87.56,1.15,3.63,153.76,4.75,100.08,1.07,3.18,190.2,5.3,67.63,1.08,3.16,248.47,3.95,40.79,1.2,3.7,268.26,5.27,37.66,1.31,4.1
N,156.11,10.52,35.59,1.93,12.6,89.45,18.36,38.59,2.01,20.71,117.25,9.17,102.64,0.86,4.3,94.8,10.11,74.38,1.39,6.53,174.67,12.76,43.13,1.36,10.82,124.86,3.69,63.16,1.12,11.41,150.69,13.05,57.69,1.48,13.82,130.09,11.66,62.55,1.43,13.12,116.47,4.93,60.87,1,7.53,104.77,6.62,86.11,1.07,7.71,181.24,5.99,69.02,0.97,7.97
N,86.94,15.42,5634.65,0.82,6.92,76.24,5.35,403.74,0.56,12.74,100.26,-63.26,153.27,0.45,11.46,84.76,-33.87,174.81,0.55,13.17,69.97,-20.85,288.5,0.7,23.03,94.21,-4.75,189.14,0.96,30.25,112.14,-3.83,128.23,0.89,30.81,141.02,-13.89,108.86,0.72,25.34,63.91,3.48,89.54,0.38,12.27,213.19,-0.6,94.07,0.65,17.88,325.36,-26.32,20.38,0.51,4.91
N,232.57,-35.38,52.45,0.83,5.96,332.9,-22.34,22.71,1.15,10,407.94,-14.9,10.6,0.29,3.83,613.45,-8.91,13.7,0.41,11.4,971.08,2.59,12.47,0.43,11.52,846.08,-5.19,13.28,0.41,11.4,703.89,-16.21,16.75,0.44,10.3,156.63,-96.18,22.53,0.35,11.63,199.21,5.87,23.4,0.54,14.71,192.36,-6.39,13.83,0.37,9.12,957.54,-18.87,5.94,0.17,7.71
N,185.45,8.79,75.73,1.86,5.85,171.05,6.45,71.76,2.09,6.69,203.35,8.61,48.78,1.66,5.13,200.12,9.05,49.07,1.69,5.12,192.15,9.21,63.4,1.72,5.36,216.64,9.35,59.35,1.38,5.14,175.37,8.77,87.79,1.43,5.78,191.77,6.38,78.4,1.28,5.65,191.6,5.46,70.99,1.24,6.59,179.66,8.51,87.87,1.37,6.51,211.01,9.15,67.74,1.7,8.58
N,381.51,3.36,15.67,0.39,14.87,660.06,2.41,8.46,0.35,12.9,787.18,5.23,6.98,0.36,11.64,486.9,8.73,12.06,0.63,13.4,496.76,3.06,11.38,0.67,11.69,632.3,2.61,9.8,0.58,10.03,703.45,1.15,9.26,0.47,8.85,634.49,0.98,10.14,0.44,8.2,725.29,-2.37,9.35,0.37,6.17,755.95,-1.1,9.22,0.34,6.25,709.77,4.82,8.91,0.29,6.55
N,249.22,15.23,35.52,1.34,7.5,158.23,19.93,57.07,1.48,6.59,270.2,15.53,35.13,1.23,5.06,248.94,3.05,38.9,1.16,4.83,268.04,8.65,35.2,1.19,4.39,292.32,4.56,34.97,1.1,5.09,258.15,4.93,35.08,1.31,7.39,348.57,10.74,25.65,1.27,6.6,590.06,5.78,14.05,1.26,7.55,806.58,7.98,9.66,1.05,8.14,890.27,2.17,7.93,0.76,7.69
N,487.03,33.47,14.32,0.71,5.04,84.8,21.6,33.24,0.53,5.02,105.3,-6.79,33.66,0.42,4.26,110.57,10.58,36.03,0.39,4.53,79.35,9.42,40.53,0.34,5.31,55.58,-5.17,71.23,0.27,5.28,18.92,-35.69,163.84,0.21,4.51,18.87,-10.88,163.2,0.23,4.35,15.93,-13.87,173.18,0.23,4.01,23.33,-0.48,112.31,0.17,3.14,6.87,-16.54,133.84,0.13,3.8
N,6695.13,-1.2,1.16,0.36,43.88,717.8,-8.47,8.36,0.34,10.21,727.53,8.53,15.98,0.64,14.86,551.21,-4.75,13.05,0.73,16.09,388.16,-6.33,15.56,0.9,16.24,484.22,1.15,12.02,0.98,17.16,1208.64,-32,8.69,0.99,15.55,703.02,-5.22,8.95,0.8,12.51,1260.55,7.85,5.02,0.8,14.32,949.52,23.05,49.59,0.46,14.28,1095.59,1.16,46.85,0.35,13.76
N,997.15,11.65,9.09,0.82,12.9,958.94,7.62,9.33,0.74,11.02,1033.93,5.26,7.87,0.77,10.54,940.29,6.13,8.17,0.78,11.38,696.34,5.43,9.59,0.78,12.75,858.35,1.38,6.73,0.69,11.96,563.78,0.02,10.11,0.73,11.72,584.13,-10.94,9.73,0.8,10.7,386.99,-7.87,14.82,0.76,7.66,279.1,-15.27,17.1,0.78,7.87,332.39,2.98,15.24,1,8.96
N,304.3,10.55,35.44,1.5,19.06,432.18,14.48,22.92,2.11,11.9,518.8,17.29,16.37,2.52,11.29,636.21,18.24,13.86,2.65,21.93,406.88,3.16,94.81,1.05,14.24,145.5,4.52,168.1,1.05,25.5,123.19,3.4,203.97,1.36,25.9,98.3,3.98,183.36,1.51,12.25,81.41,1.82,131.68,1.18,9.4,77.92,3.75,161.95,1.47,12.59,80.88,1.76,163.75,1.13,8.13
N,123.85,0.03,176.95,1.41,3.29,130.33,0.41,154.42,1.59,4,131.05,4.03,164.12,1.62,4.08,138.22,3.9,136.77,1.5,3.52,139.75,4.44,140.78,1.65,3.45,155.25,3.01,133.59,1.41,2.92,160.22,3.06,128.12,1.59,3.33,151.92,-4.94,150.78,1.66,3.47,149.91,2.37,113.08,1.39,3.38,146.6,2.29,148.67,1.49,3.57,176.59,0.89,95.77,1.3,3.27
N,126.98,-6.08,114.14,1.95,3.96,146.93,-20.78,134.65,1.92,4.65,122.54,5.8,125.16,1.78,6.03,95.16,0.8,153.95,1.39,6.18,186.55,2.83,115.16,1.4,6.32,93.56,-40.37,149.3,1.08,4.23,135.39,-31.39,140.56,0.99,3.92,686.85,-26.16,29.73,0.24,1.63,402.73,-78.22,46.11,0.44,2.94,735.91,-76.83,13.81,0.26,1.38,993.21,-17.01,80.76,0.1,2.55
N,146.29,-0.5,91.72,1.18,3.3,158.18,0.54,104.89,1.17,4.28,125.24,3.14,86.64,1.05,5.09,132.95,2.88,133.91,1.35,6.45,68,-5.73,269.89,1.1,6.03,53.54,-26.54,2212.08,0.68,3.61,102.38,-30.88,1362.71,0.41,1.74,74.14,8.82,614.44,0.92,3.71,73.72,5.25,296.05,1.14,5.08,134.94,-5.49,77.93,0.38,2.37,256.38,-3.16,52.96,0.28,2.81
