audit,2011A,2011B,2011C,2011D,2012A,2012B,2012C,2012D,2013A,2013B,2013C,2013D,2014A,2014B,2014C,2014D,2015A,2015B,2015C,2015D,2016A,2016B,2016C,2016D,2017A,2017B,2017C,2017D
Y,97.9,3.46,49.98,0.46,71.87,-80.31,133,0.46,86.06,-13.26,221.06,1.09,160.87,-21.96,82.27,0.91,147.08,2.04,105.35,0.79,342.22,1.35,46.94,0.68,149.04,-24.03,115.77,0.24
Y,369.81,0.44,116.97,0.45,321.66,-6.19,127.38,0.4,290.37,-6.09,169.25,0.56,85.69,-0.98,167.62,0.53,295.04,4.48,52.88,0.51,280.84,15.37,32.67,0.59,304.17,9.69,38.04,0.5
Y,121.27,-1.92,212.4,0.38,113.85,0.22,218.65,0.34,78.29,-3.61,223.6,0.33,84.34,-5.42,235.64,0.32,62.02,-8,276.52,0.42,100.16,-7.45,325.65,0.46,54.92,-8.24,487.9,0.48
Y,156.68,-0.09,304.13,0.7,126.16,0.2,366.49,0.67,123.26,-0.04,375.82,0.92,99.79,-9.7,590.29,0.76,98.74,1.76,532.59,0.97,89.97,1.79,455.58,1.17,119.98,4.59,389.82,1.2
Y,148,5.12,147.44,1.03,154.7,3.19,144.79,0.96,160.1,2.77,155.69,0.92,162.59,1.86,153.08,0.89,162.91,2.52,143.54,0.87,169.99,2.57,130.91,0.88,187.45,1.23,108.27,0.84
Y,131.82,-5.03,100.05,0.23,111.89,-7.38,120.47,0.12,100.89,-5.85,116.45,0.1,110.29,0.59,118.56,0.18,96.01,-7.12,150.52,0.04,142.68,8.22,91.84,0.19,36.37,-9.72,111.21,0.06
Y,111.6,-21.85,105.26,0.55,184.33,2.43,35.78,0.4,91.56,-40.08,103.18,0.56,79.35,-5.34,99.4,0.61,43.36,-19.21,96.88,0.57,48.76,-9.73,68.47,0.65,44.83,-26.55,129.12,0.56
Y,161.58,6.17,78.15,0.92,140.38,7.72,73.44,1.04,164.79,7.83,88.96,1.09,112.48,8.71,102.82,1.05,134.29,7.46,81.14,1.06,76.63,1.62,112.59,1.02,73.9,-9.36,192.12,1.08
Y,39.8,1.96,222.49,1.13,46.42,0.21,284.64,0.88,53.01,4.46,241.14,0.86,92.14,2.55,210.74,0.91,107.95,20.15,63.78,0.93,97.15,2.79,45.48,1.01,79.41,2.31,38.99,1.06
N,153.04,3.43,30.26,0.5,93.01,3.89,68.17,0.47,111.79,3.62,85.18,0.43,74.28,-6.03,81.63,0.43,110.98,1.03,54.33,0.52,127.55,0.78,63.82,0.51,109.93,-4.59,82.37,0.52
N,73.05,-1.99,170.35,0.56,82.26,-0.09,173.84,0.58,76.51,-0.68,172.13,0.56,58.15,-3.45,181.04,0.63,53.9,-3.19,135.89,0.56,56.81,2.1,139.68,0.62,27.47,1.25,23.1,0.22
N,287.18,-1.2,34.05,0.67,365.2,1.71,29.19,0.63,208.83,1.59,46.81,0.79,276.19,7.2,31.48,0.89,287.03,15.12,29.19,1.03,433.98,13.22,22.74,0.91,622.51,4.43,14.81,0.68
N,63.24,-2.54,118,0.74,45.38,-10.83,96.2,0.45,50.5,-0.37,106.94,0.42,56.6,-3.11,132.84,0.63,62.12,-1.23,157.56,0.55,161.66,-33.27,167.25,0.53,126,-12.04,204.76,0.48
N,208.3,2.07,84.66,0.74,204.84,4.06,70.01,0.78,180.15,7.63,44.79,0.81,216.86,9.95,34.74,0.89,174.58,13.65,39.99,0,742.97,195.94,0.87,0.04,133.13,3.29,2.63,0.08
N,153.9,0.71,364.35,0.96,112.16,1.37,394.05,0.94,145.52,-0.65,397.56,0.92,138.01,0.21,403.18,0.84,174.1,0.13,357.12,0.6,145.97,-2.03,376.22,0.52,107.52,-2.8,407.66,0.58
N,338.03,14.54,19.24,0.47,330.71,13.56,20.69,0.47,315.34,8.36,20.86,0.42,379.52,12.07,17.84,0.44,278.38,14.38,26.33,0.41,274.24,13.66,28.73,0.37,326.57,11.37,21.44,0.35
N,298.89,4.12,27.09,0.81,245,3.31,32.13,0.72,321.1,2.92,56.63,0.68,433.49,2.98,43.11,0.59,197.01,2.41,42.27,0.59,190.83,4.95,45.88,0.64,155.54,3.24,55.95,0.71
N,161.88,2.49,96.37,0.57,214.05,2.06,74.34,0.54,166.66,1.21,63.18,0.53,133.29,1.88,70.8,0.66,128.13,2.8,64.24,0.69,65.72,4.17,91,0.72,59.41,9.79,93.58,0.62
N,725.25,8.45,20.79,0.68,1166.46,5.18,31.08,0.58,797.92,-1.57,48.69,0.45,521.57,5.49,46.93,0.5,483.23,5.87,40.75,0.53,507.17,3.51,31.78,0.46,246.01,1.5,35.35,0.37
N,274.06,3.21,38.92,0.56,1171.39,9.51,12.57,0.63,740.77,11.8,13.66,0.66,550.67,9.59,12.36,0.53,332.35,10.01,20.36,0.47,192.68,7.95,35.94,0.47,106.49,10.5,46.86,0.49
N,84.45,5.63,172.04,0.34,88.13,3.73,108.05,0.44,116.41,8.44,78.19,0.5,126.39,5.8,61.7,0.52,129.83,4.5,45.8,0.48,137.92,7.22,48.45,0.52,205.53,7.96,27.41,0.55
N,82.14,-6.41,497.83,0.99,106.25,-2.85,339.14,1.08,112.71,-19.28,338.04,1.01,121.9,-3.73,242.69,1.15,237.33,-2.6,68.25,0.83,85.94,-8.29,106.34,0.69,109.96,4.26,48.3,0.79
N,99.75,1.62,67.79,0.62,94.26,-1.67,66.72,0.5,123.81,0.34,71.4,0.35,97.24,-10.71,94.82,0.47,61.65,-2.35,102.43,0.35,51.41,-9.22,124.02,0.3,43.91,-9.69,115.85,0.27
N,152.07,-24.58,44.49,0.43,163.26,2.13,40.71,0.7,708.11,-59.6,146.19,0.4,310.31,-33.88,44.43,0.18,774.1,-15.53,11.16,0.17,317.42,-14.76,38.46,0.45,556.69,-27.36,25.78,0.21
N,138.95,9.22,56.27,1.13,270.01,10.07,22.59,0.68,133.69,1.27,33.53,0.56,133.73,1.83,36.15,0.95,209.62,-3.51,40.85,0.61,198.65,3.33,37.86,0.52,130.72,3.02,36.38,0.6
N,223.46,6.84,81.9,0.55,276.68,3.99,38.68,0.45,929.24,-2.69,16.04,0.53,552.28,2.29,17.61,0.56,612.25,4.34,13.87,0.6,1199.59,4.78,6.58,0.58,675.87,-0.37,15.85,0.35
N,110.3,-21.2,84.2,0.83,137.75,0.49,51.55,0.61,194.57,-73.87,27.3,0.76,279.52,-22.45,32.21,0.3,400.01,3.78,28.82,0.55,74.68,-8.92,84.74,0.43,88.52,-11.57,55.83,0.26
N,84.71,-2.38,98.6,0.57,70.02,-1.78,95.75,0.59,71.83,-0.81,91.93,0.67,83.75,1.19,79.7,0.72,92.87,2.49,68.64,0.74,87.42,0.8,76.48,0.83,104.13,-1.43,98.34,0.83
N,100.19,4.69,177.48,1.27,121.95,8.13,165.39,1.29,135.67,8.6,134.94,0,87.43,4,6.13,0.02,61.96,1.54,16.7,0.05,62.94,1.88,34.24,0.07,25.14,0.87,52.39,0.08
