audit,2011A,2011B,2011C,2011E,2012A,2012B,2012C,2012E,2013A,2013B,2013C,2013E,2014A,2014B,2014C,2014E,2015A,2015B,2015C,2015E,2016A,2016B,2016C,2016E,2017A,2017B,2017C,2017E
Y,97.9,3.46,49.98,1.96,71.87,-80.31,133,1.57,86.06,-13.26,221.06,2.26,160.87,-21.96,82.27,2.11,147.08,2.04,105.35,2.29,342.22,1.35,46.94,2.33,149.04,-24.03,115.77,1.02
Y,369.81,0.44,116.97,1,321.66,-6.19,127.38,1,290.37,-6.09,169.25,1.5,85.69,-0.98,167.62,1.21,295.04,4.48,52.88,1.15,280.84,15.37,32.67,1.2,304.17,9.69,38.04,1.01
Y,121.27,-1.92,212.4,1.7,113.85,0.22,218.65,1.7,78.29,-3.61,223.6,2.1,84.34,-5.42,235.64,2.49,62.02,-8,276.52,3.12,100.16,-7.45,325.65,3.69,54.92,-8.24,487.9,3.87
Y,156.68,-0.09,304.13,2.62,126.16,0.2,366.49,2.7,123.26,-0.04,375.82,2.92,99.79,-9.7,590.29,2.31,98.74,1.76,532.59,3.89,89.97,1.79,455.58,5.17,119.98,4.59,389.82,5.05
Y,148,5.12,147.44,4.45,154.7,3.19,144.79,3.48,160.1,2.77,155.69,2.83,162.59,1.86,153.08,2.52,162.91,2.52,143.54,2.68,169.99,2.57,130.91,3.02,187.45,1.23,108.27,3
Y,131.82,-5.03,100.05,0.65,111.89,-7.38,120.47,0.29,100.89,-5.85,116.45,0.25,110.29,0.59,118.56,0.47,96.01,-7.12,150.52,0.1,142.68,8.22,91.84,0.39,36.37,-9.72,111.21,0.21
Y,111.6,-21.85,105.26,5,184.33,2.43,35.78,3.64,91.56,-40.08,103.18,5.83,79.35,-5.34,99.4,5.81,43.36,-19.21,96.88,4.49,48.76,-9.73,68.47,5.41,44.83,-26.55,129.12,4.97
Y,161.58,6.17,78.15,29.5,140.38,7.72,73.44,22.17,164.79,7.83,88.96,15.46,112.48,8.71,102.82,10.27,134.29,7.46,81.14,9.13,76.63,1.62,112.59,8.44,73.9,-9.36,192.12,13.13
Y,39.8,1.96,222.49,6.78,46.42,0.21,284.64,5.79,53.01,4.46,241.14,6.38,92.14,2.55,210.74,1.36,107.95,20.15,63.78,1.3,97.15,2.79,45.48,5.91,79.41,2.31,38.99,5.54
N,153.04,3.43,30.26,2.87,93.01,3.89,68.17,3.19,111.79,3.62,85.18,3.4,74.28,-6.03,81.63,2.78,110.98,1.03,54.33,2.68,127.55,0.78,63.82,2.61,109.93,-4.59,82.37,2.61
N,73.05,-1.99,170.35,2.88,82.26,-0.09,173.84,2.63,76.51,-0.68,172.13,2.54,58.15,-3.45,181.04,2.97,53.9,-3.19,135.89,3.17,56.81,2.1,139.68,4.05,27.47,1.25,23.1,2.19
N,287.18,-1.2,34.05,4.23,365.2,1.71,29.19,4.2,208.83,1.59,46.81,5.76,276.19,7.2,31.48,6.82,287.03,15.12,29.19,9.26,433.98,13.22,22.74,8.41,622.51,4.43,14.81,6.87
N,63.24,-2.54,118,4.18,45.38,-10.83,96.2,2.19,50.5,-0.37,106.94,2.29,56.6,-3.11,132.84,3.21,62.12,-1.23,157.56,2.54,161.66,-33.27,167.25,1.84,126,-12.04,204.76,2.22
N,208.3,2.07,84.66,2.83,204.84,4.06,70.01,3,180.15,7.63,44.79,3.09,216.86,9.95,34.74,3.26,174.58,13.65,39.99,0.01,742.97,195.94,0.87,0.35,133.13,3.29,2.63,7.78
N,153.9,0.71,364.35,5.06,112.16,1.37,394.05,5.05,145.52,-0.65,397.56,5.15,138.01,0.21,403.18,5.22,174.1,0.13,357.12,4.42,145.97,-2.03,376.22,4.59,107.52,-2.8,407.66,4.5
N,338.03,14.54,19.24,5.15,330.71,13.56,20.69,4.46,315.34,8.36,20.86,3.84,379.52,12.07,17.84,3.84,278.38,14.38,26.33,3.52,274.24,13.66,28.73,3.3,326.57,11.37,21.44,3.25
N,298.89,4.12,27.09,2.95,245,3.31,32.13,2.59,321.1,2.92,56.63,2.86,433.49,2.98,43.11,3.82,197.01,2.41,42.27,4.8,190.83,4.95,45.88,4.89,155.54,3.24,55.95,5
N,161.88,2.49,96.37,2.15,214.05,2.06,74.34,2.23,166.66,1.21,63.18,2.6,133.29,1.88,70.8,3.66,128.13,2.8,64.24,3.76,65.72,4.17,91,4.38,59.41,9.79,93.58,4.83
N,725.25,8.45,20.79,5.94,1166.46,5.18,31.08,6.96,797.92,-1.57,48.69,6.75,521.57,5.49,46.93,8.42,483.23,5.87,40.75,7.3,507.17,3.51,31.78,5.56,246.01,1.5,35.35,4.96
N,274.06,3.21,38.92,2.88,1171.39,9.51,12.57,3.01,740.77,11.8,13.66,2.67,550.67,9.59,12.36,2.4,332.35,10.01,20.36,2.54,192.68,7.95,35.94,2.68,106.49,10.5,46.86,3
N,84.45,5.63,172.04,3.28,88.13,3.73,108.05,2.52,116.41,8.44,78.19,2.58,126.39,5.8,61.7,2.73,129.83,4.5,45.8,2.49,137.92,7.22,48.45,2.61,205.53,7.96,27.41,2.58
N,82.14,-6.41,497.83,3.41,106.25,-2.85,339.14,3.01,112.71,-19.28,338.04,2.25,121.9,-3.73,242.69,2.15,237.33,-2.6,68.25,2.2,85.94,-8.29,106.34,2.62,109.96,4.26,48.3,3.02
N,99.75,1.62,67.79,6.4,94.26,-1.67,66.72,7.15,123.81,0.34,71.4,4.71,97.24,-10.71,94.82,5.35,61.65,-2.35,102.43,4.46,51.41,-9.22,124.02,3.88,43.91,-9.69,115.85,4.02
N,152.07,-24.58,44.49,2.3,163.26,2.13,40.71,4.45,708.11,-59.6,146.19,3.47,310.31,-33.88,44.43,2.86,774.1,-15.53,11.16,4.04,317.42,-14.76,38.46,15.72,556.69,-27.36,25.78,3.85
N,138.95,9.22,56.27,8.1,270.01,10.07,22.59,8.64,133.69,1.27,33.53,11.33,133.73,1.83,36.15,23.21,209.62,-3.51,40.85,14.71,198.65,3.33,37.86,7.03,130.72,3.02,36.38,7.46
N,223.46,6.84,81.9,2.83,276.68,3.99,38.68,2.37,929.24,-2.69,16.04,2.4,552.28,2.29,17.61,2.5,612.25,4.34,13.87,2.66,1199.59,4.78,6.58,2.69,675.87,-0.37,15.85,2.57
N,110.3,-21.2,84.2,12.39,137.75,0.49,51.55,7.64,194.57,-73.87,27.3,6.76,279.52,-22.45,32.21,3.26,400.01,3.78,28.82,4.43,74.68,-8.92,84.74,3.46,88.52,-11.57,55.83,2.52
N,84.71,-2.38,98.6,6.59,70.02,-1.78,95.75,7.24,71.83,-0.81,91.93,8.13,83.75,1.19,79.7,8.5,92.87,2.49,68.64,10.32,87.42,0.8,76.48,12.26,104.13,-1.43,98.34,7.63
N,100.19,4.69,177.48,4.22,121.95,8.13,165.39,4.59,135.67,8.6,134.94,0,87.43,4,6.13,0.19,61.96,1.54,16.7,4.78,62.94,1.88,34.24,3.85,25.14,0.87,52.39,3.11
