audit,2011A,2011B,2011C,2011D,2011E,2011F,2012A,2012B,2012C,2012D,2012E,2012F,2013A,2013B,2013C,2013D,2013E,2013F,2014A,2014B,2014C,2014D,2014E,2014F,2015A,2015B,2015C,2015D,2015E,2015F
N,189.19,34.58,113.19,51223430000,1.81,6.86,88.22,53.13,64.77,44657581000,1.6,6.01,226.09,30.67,47.26,44475967000,0.76,3.65,741.31,11.89,31,41946083000,0.85,3.8,754.11,11.71,39.79,36744393000,1.09,5.06
N,36.86,73.07,113.19,1.78E+11,1.52,4.13,25.79,79.5,123.91,1.71E+11,1.44,3.68,32.87,75.26,122.63,1.89E+11,1.4,3.5,27.57,78.39,118.57,1.88E+11,1.35,3.28,32.9,75.25,117.7,1.98E+11,1.36,3.45
N,8.71,91.98,113.19,61029620000,0.77,99.15,4.92,95.31,1241.02,54894779000,0.55,51.79,4.58,95.62,1570.18,53850421000,0.39,57.54,4.22,95.95,2090.09,54287538000,0.35,118.27,3.32,96.79,1771.9,47874645000,0.3,49.37
N,13.06,88.44,113.19,31839539000,0.56,6.42,12.1,89.21,558.6,32442231000,0.47,3.25,10.8,90.25,766.57,32848207000,0.47,2.3,9.28,91.51,892.88,32300334000,0.31,1.41,9.23,91.55,580.7,33123010000,0.42,1.77
N,29,77.52,113.19,58932405000,0.62,4.4,14.44,87.38,800.78,60329086000,0.59,3.9,12.01,89.28,885.75,65406649000,0.51,4.02,9.5,91.32,886.71,68757810000,0.49,4.24,12.57,88.83,529.21,63705812000,0.43,3.41
N,100.04,49.99,113.19,89814927000,0.87,4.27,86.05,53.75,105.68,1.14E+11,0.98,4.89,54.39,64.77,164.32,1.40E+11,0.73,4.11,81.23,55.18,84.58,1.53E+11,0.64,4.19,90.13,52.6,62.4,1.86E+11,0.56,4.02
N,113.77,46.78,113.19,75337810000,0.34,1.95,51.03,66.21,156.49,81277604000,0.38,2.27,51.38,66.06,115.19,82413271000,0.34,2.11,59.75,62.6,89.69,68305647000,0.25,1.48,95.12,51.25,64.13,81092271000,0.22,1.42
N,148.63,40.22,113.19,14997453000,2.61,56.72,143.7,41.03,156.39,16765329000,2.11,58.62,155.81,39.09,88.5,15246905000,1.95,70.27,135.29,42.5,97.8,16708694000,2.3,105.78,57.54,63.48,138.94,18875606000,2.23,115.38
N,46.2,68.4,113.19,1.34E+11,1.4,10.59,63.03,61.34,150.04,1.64E+11,1,12.65,102.25,49.44,156.99,2.30E+11,1.19,11.34,77.16,56.45,126.55,2.17E+11,0.77,6.81,38.32,72.29,247.91,2.05E+11,1.08,14.1
N,30.13,76.85,113.19,14392551000,1.49,52.18,25.88,79.44,430.37,14278540000,1.5,79.33,37.66,72.64,309.48,16475752000,2.08,219.12,44.8,69.06,347.14,16695184000,1.93,252.79,38.11,72.41,422.73,21842317000,1.79,246.38
N,644.19,13.44,113.19,12317023000,4.24,13.69,305.54,24.66,134.59,15699405000,3.06,8.21,154.28,39.33,94.91,21937567000,3.98,11.55,124.26,44.59,113.74,32687102000,3.16,8.3,87.06,53.46,98.33,36326594000,2.69,6.66
N,21.71,82.17,113.19,43272716000,0.58,6.91,51.56,65.98,174.28,60171965000,0.59,5.21,26.58,79,300.74,55932671000,0.57,4.22,13.74,87.92,399.68,58229660000,0.66,5.57,25.39,79.75,209.96,71043948000,0.62,4.21
N,149.71,40.05,113.19,30909166000,0.95,5.92,105.91,48.57,91.6,25485568000,1.03,6.86,82.15,54.9,122.68,27923845000,1.25,7.77,38.04,72.44,236.06,37520424000,1.16,6.91,28.56,77.78,249.33,44525642000,1.12,6.49
N,183.01,35.33,113.19,1.97E+11,1.16,2.96,225.07,30.76,46.76,1.81E+11,1,2.51,273.4,26.78,33.65,1.38E+11,0.9,2.45,955.31,9.48,22.22,70188407000,0.93,3,22.5,81.63,88.56,29204450000,0.35,1.86
N,186.46,34.91,113.19,1.10E+13,0.94,32.66,195.92,33.79,62.45,1.11E+13,0.99,30.35,192.56,34.18,61.04,1.17E+13,1,30.91,186.11,34.95,62.05,1.20E+13,0.93,32.94,166.65,37.5,65.62,1.19E+13,0.9,33.9
N,82.94,54.66,113.19,59416681000,0.56,3.19,37.36,72.8,196.39,46588431000,0.93,6.06,58.65,63.03,157.21,57254925000,0.93,8.62,49.01,67.11,200.2,54284156000,0.75,7.33,39.2,71.84,254.09,53901387000,0.85,8.81
N,296.75,25.21,113.19,89450756000,0.66,1.67,259.93,27.78,129.86,78858612000,0.64,1.61,237.57,29.62,123.16,78768835000,0.67,1.64,309.89,24.4,22.62,79619776000,0.68,1.59,281.25,26.23,59.62,62449424000,0.66,1.63
